Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-04-26 13:19:07,false,"Chicago Running","8.24","1,000","01:06:06","166","178","3.8","158","170","8:01","3:47","302","282","1.27","8.1","10.2","282","7:59","393","0.0","388","792","10,420","No","00:02:03.9","9","01:05:59","01:06:06","571","645"
Running,2025-04-21 11:15:07,false,"Hopkinton Running","26.49","3,209","04:19:31","164","184","5.0","146","237","9:48","5:53","873","1,293","1.11","8.0","8.9","291","9:49","333","0.0","300","527","37,878","No","00:04:51.3","27","04:19:25","04:19:31","16","453"
Running,2025-04-19 08:15:36,false,"Providence Running","5.11","658","00:43:30","160","172","3.4","157","165","8:31","6:05","174","187","1.21","8.3","10.0","286","8:24","376","0.0","368","531","6,826","No","00:00:57.0","6","00:43:26","00:43:30","-3","52"
Running,2025-04-17 07:08:05,false,"Chicago Running","6.25","721","00:45:02","170","187","3.9","161","171","7:12","5:18","164","125","1.30","7.8","10.2","274","7:40","420","0.0","415","635","7,234","No","00:01:54.5","7","00:44:59","00:45:02","577","648"
Running,2025-04-15 07:19:23,false,"Chicago Running","4.15","499","00:31:58","165","182","3.4","158","165","7:42","4:19","194","184","1.34","7.8","10.5","277","7:32","423","0.0","412","710","5,048","No","00:01:03.8","5","00:31:57","00:31:58","579","653"
Running,2025-04-12 12:59:38,false,"Chicago Running","11.70","1,467","01:35:00","174","181","4.4","158","163","8:07","6:36","135","174","1.26","8.1","10.2","285","8:08","383","0.0","381","513","14,956","No","00:05:43.2","12","01:34:56","01:35:00","578","644"
Running,2025-04-10 07:27:01,false,"Chicago Running","4.47","524","00:33:13","166","181","3.4","160","169","7:25","2:47","118","102","1.35","7.7","10.3","273","7:25","442","0.0","416","1,176","5,306","No","00:03:35.3","5","00:33:11","00:33:13","581","635"
Running,2025-04-08 07:21:11,false,"Chicago Running","4.20","490","00:32:22","159","173","3.2","159","169","7:42","5:20","157","141","1.31","7.8","10.3","274","7:39","415","0.0","407","651","5,162","No","00:01:38.2","5","00:32:15","00:32:22","584","643"
Running,2025-04-06 12:26:03,false,"Chicago Running","15.31","1,790","02:01:42","168","176","4.6","158","165","7:57","1:55","233","210","1.27","8.1","10.2","283","8:01","392","0.0","387","1,726","19,186","No","00:02:29.6","16","02:01:37","02:01:42","578","633"
Running,2025-04-03 07:21:44,false,"Chicago Running","5.28","657","00:42:23","167","181","3.6","158","167","8:01","5:32","148","151","1.30","7.9","10.3","279","7:49","392","0.0","383","558","6,720","No","00:02:05.0","6","00:41:26","00:42:23","573","656"
Running,2025-04-01 07:18:42,false,"Chicago Running","4.38","513","00:34:21","157","172","3.2","160","169","7:50","2:27","118","115","1.29","7.9","10.2","278","7:46","414","0.0","405","928","5,482","No","00:02:53.6","5","00:34:19","00:34:21","580","647"
Running,2025-03-29 12:11:20,false,"Chicago Running","17.02","2,046","02:22:04","168","176","4.6","157","165","8:21","4:11","282","266","1.23","8.3","10.1","287","8:22","383","0.0","379","675","22,260","No","00:00:08.9","18","02:21:55","02:22:04","566","618"
Running,2025-03-26 11:29:25,false,"Chicago Running","7.02","851","00:55:27","166","178","3.7","159","172","7:54","3:59","177","148","1.29","8.0","10.3","281","7:52","400","0.0","394","782","8,764","No","00:00:09.5","8","00:55:26","00:55:27","573","631"
Running,2025-03-23 10:44:15,false,"New York Running","6.44","770","00:49:35","165","179","3.7","161","169","7:42","6:17","295","289","1.30","7.8","10.2","275","7:38","417","0.0","409","577","7,938","No","00:03:21.0","7","00:49:32","00:49:35","37","146"
Running,2025-03-21 08:23:44,false,"Toulouse Running","5.24","642","00:42:13","163","178","3.4","161","169","8:04","5:16","423","420","1.24","8.0","9.9","277","8:04","417","0.0","410","606","6,782","No","00:01:56.6","6","00:42:11","00:42:13","430","480"
Running,2025-03-18 10:21:01,false,"Naples Running","6.02","726","00:47:02","166","177","3.6","163","169","7:49","6:34","39","49","1.26","7.8","9.9","271","7:50","405","0.0","401","511","7,662","No","00:00:07.7","7","00:47:01","00:47:02","-10","20"
Running,2025-03-17 11:01:50,false,"Naples Running","7.47","930","00:58:43","171","179","4.2","160","170","7:52","5:06","157","164","1.28","7.9","10.2","277","7:50","412","0.0","407","686","9,400","No","00:03:40.3","8","00:58:36","00:58:43","4","37"
Running,2025-03-15 10:46:42,false,"Naples Running","5.52","693","00:43:24","177","192","3.9","161","169","7:52","6:17","59","62","1.27","7.9","10.1","276","7:52","401","0.0","399","539","6,964","No","00:04:11.0","6","00:43:22","00:43:24","1","24"
Running,2025-03-14 10:16:04,false,"Naples Running","5.62","697","00:43:49","175","187","3.9","159","165","7:48","5:27","36","30","1.30","7.9","10.3","278","7:48","407","0.0","405","629","6,966","No","00:04:54.7","6","00:43:43","00:43:49","3","22"
Running,2025-03-11 11:29:36,false,"Chicago Running","4.19","520","00:32:52","172","183","3.5","158","167","7:51","5:42","272","269","1.30","7.9","10.3","278","7:43","425","0.0","413","628","5,194","No","00:01:44.7","5","00:32:44","00:32:52","711","783"
