Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-04-07 07:04:49,false,"Chicago Running","19.02","2,240","02:32:12","158","173","4.8","158","171","8:00","4:38","390","377","1.27","8.1","10.3","282","7:59","392","0.0","388","678","24,050","-42","No","00:00:10.3","20","02:31:51","02:32:12","572","661"
Running,2026-04-05 10:06:22,false,"Naples Running","5.38","659","00:41:10","169","181","3.7","159","167","7:39","6:14","23","26","1.32","7.9","10.4","276","7:40","410","0.0","407","537","6,544","-12","No","00:02:57.5","6","00:41:09","00:41:10","4","19"
Running,2026-04-04 11:01:17,false,"Naples Running","5.38","654","00:41:13","166","182","3.6","158","165","7:39","6:47","16","33","1.33","7.9","10.5","278","7:40","412","0.0","409","491","6,512","-11","No","00:02:59.0","6","00:41:10","00:41:13","1","23"
Running,2026-04-03 10:48:03,false,"Naples Running","5.43","656","00:41:35","165","179","3.6","158","165","7:39","6:28","23","30","1.33","7.9","10.5","278","7:41","412","0.0","410","512","6,562","-11","No","00:03:21.2","6","00:41:34","00:41:35","--","19"
Running,2026-04-01 09:45:57,false,"Naples Running","5.31","652","00:41:01","168","182","3.7","158","165","7:44","6:50","26","26","1.32","7.9","10.4","279","7:45","405","0.0","403","481","6,466","-13","No","00:02:26.0","6","00:40:59","00:41:01","3","22"
Running,2026-03-30 09:23:11,false,"Naples Running","4.07","491","00:31:09","164","179","3.4","159","169","7:39","6:00","39","43","1.33","7.8","10.4","276","7:39","418","0.0","412","593","4,944","-9","No","00:00:34.3","5","00:31:00","00:31:09","3","21"
Running,2026-03-29 10:54:33,false,"Naples Running","5.57","678","00:42:36","168","183","3.8","157","167","7:39","5:51","23","23","1.34","7.9","10.5","280","7:41","413","0.0","411","542","6,668","-14","No","00:04:24.5","6","00:42:35","00:42:36","1","20"
Running,2026-03-26 07:16:55,false,"Chicago Running","13.14","1,621","01:43:00","171","179","4.9","159","172","7:50","4:54","203","164","1.29","8.0","10.3","279","7:52","402","0.0","398","610","16,312","-23","No","00:01:03.8","14","01:42:29","01:43:00","565","642"
Running,2026-03-25 07:13:07,false,"Chicago Running","4.31","513","00:32:09","165","181","3.6","159","170","7:28","2:56","115","98","1.36","7.7","10.5","274","7:26","422","0.0","418","1,056","5,116","-10","No","00:02:13.3","5","00:31:59","00:32:47","577","636"
Running,2026-03-23 07:59:37,false,"Chicago Running","6.15","735","00:45:46","167","180","4.0","159","166","7:27","3:33","279","236","1.35","7.8","10.5","275","7:27","440","0.0","431","940","7,264","-14","No","00:01:03.7","7","00:45:45","00:45:46","562","641"
Running,2026-03-21 13:16:58,false,"Chicago Running","9.01","1,146","01:11:47","172","184","4.4","156","167","7:58","5:42","128","115","1.29","8.1","10.4","284","7:55","408","0.0","403","595","11,182","-19","No","00:00:06.9","10","01:11:45","01:11:47","581","635"
Running,2026-03-18 07:02:16,false,"Chicago Running","4.38","534","00:35:02","159","176","3.3","157","169","8:00","4:31","164","154","1.28","8.0","10.2","279","7:56","403","0.0","390","691","5,496","-11","No","00:02:50.4","5","00:34:34","00:35:02","579","651"
Running,2026-03-15 07:30:28,false,"New York Running","13.30","1,595","01:39:00","171","187","5.0","161","174","7:27","5:32","502","535","1.34","7.7","10.4","271","7:25","430","0.0","427","593","15,920","-23","No","00:02:12.4","14","01:38:56","01:39:00","-3","162"
Running,2026-03-13 08:24:44,false,"Chicago Running","4.31","522","00:32:49","165","181","3.5","158","169","7:37","6:02","246","236","1.33","7.8","10.4","275","7:35","433","0.0","426","657","5,214","-9","No","00:02:23.7","5","00:32:44","00:32:49","581","654"
Running,2026-03-10 07:09:41,false,"Chicago Running","6.28","727","00:46:43","160","177","3.7","161","169","7:26","4:11","256","223","1.33","7.8","10.3","273","7:30","421","0.0","414","711","7,478","-13","No","00:01:59.0","7","00:46:41","00:46:43","563","637"
Running,2026-03-09 07:11:50,false,"Chicago Running","6.16","734","00:46:10","164","182","3.9","157","166","7:29","4:18","164","138","1.37","7.7","10.6","275","7:27","423","0.0","416","734","7,238","-14","No","00:01:07.0","7","00:45:48","00:46:10","574","636"
Running,2026-03-05 08:29:12,false,"Chicago Running","6.20","676","00:47:24","149","176","3.3","158","167","7:39","2:52","151","118","1.33","7.9","10.4","277","7:40","411","0.0","404","1,119","7,496","-14","No","00:01:30.0","7","00:46:57","00:47:24","561","626"
Running,2026-03-02 07:46:55,false,"Chicago Running","6.10","721","00:47:44","156","176","3.5","159","169","7:50","5:14","141","138","1.30","7.9","10.2","276","7:48","413","0.0","405","671","7,574","-13","No","00:00:41.7","7","00:47:37","00:47:44","577","657"
Running,2026-03-01 11:41:37,false,"Chicago Running","4.25","499","00:32:10","159","180","3.3","158","167","7:34","6:11","131","131","1.35","7.8","10.5","277","7:33","430","0.0","421","688","5,070","-9","No","00:01:47.3","5","00:32:09","00:32:10","587","652"
Running,2026-02-26 07:32:47,false,"Chicago Running","16.01","1,883","02:05:04","163","177","4.6","159","168","7:49","4:33","220","200","1.30","7.9","10.3","279","7:48","398","0.0","396","662","19,852","-28","No","00:00:08.4","17","02:04:53","02:05:40","577","644"
Running,2026-02-24 06:56:10,false,"Chicago Running","6.31","745","00:46:57","163","177","3.8","160","167","7:27","4:35","118","256","1.32","7.8","10.3","274","7:37","416","0.0","411","691","7,506","-14","No","00:02:15.6","7","00:46:50","00:46:57","661","853"
Running,2026-02-22 12:01:51,false,"Chicago Running","8.35","1,028","01:04:46","167","178","4.1","157","166","7:45","6:07","223","213","1.32","7.9","10.5","281","7:44","423","0.0","419","624","10,168","-18","No","00:02:39.5","9","01:04:44","01:04:46","582","652"
Running,2026-02-19 08:07:13,false,"Chicago Running","4.26","516","00:32:54","160","174","3.4","158","165","7:43","5:37","167","151","1.32","7.9","10.4","278","7:39","414","0.0","407","595","5,192","-9","No","00:02:02.1","5","00:32:51","00:32:54","583","645"
Running,2026-02-17 08:53:48,false,"Naples Running","4.02","487","00:31:08","160","172","3.3","157","163","7:45","6:36","20","13","1.33","7.9","10.5","280","7:45","406","0.0","402","513","4,870","-8","No","00:00:08.9","5","00:31:04","00:31:08","1","20"
Running,2026-02-15 09:47:08,false,"Naples Running","5.05","615","00:38:05","168","181","3.7","158","165","7:32","6:35","46","52","1.35","7.8","10.5","277","7:33","416","0.0","414","490","6,008","-11","No","00:00:22.9","6","00:38:03","00:38:05","2","26"
Running,2026-02-14 10:26:18,false,"Naples Running","5.29","659","00:40:08","173","187","4.0","157","165","7:35","6:24","33","26","1.35","7.9","10.6","279","7:36","407","0.0","406","498","6,286","-13","No","00:02:12.9","6","00:40:06","00:40:08","4","24"
Running,2026-02-12 06:54:00,false,"Chicago Running","12.16","1,469","01:34:42","164","186","4.6","158","167","7:47","4:06","203","207","1.31","7.9","10.4","280","7:47","402","0.0","399","650","14,948","-24","No","00:01:14.9","13","01:34:38","01:34:42","576","648"
