Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-03-15 10:46:42,false,"Naples Running","5.52","693","00:43:24","177","192","3.9","161","169","7:52","6:17","59","62","1.27","7.9","10.1","276","7:52","401","0.0","399","539","--","6,964","--","No","00:04:11.0","6","--","00:43:22","00:43:24","1","24"
Running,2025-03-14 10:16:04,false,"Naples Running","5.62","697","00:43:49","175","187","3.9","159","165","7:48","5:27","36","30","1.30","7.9","10.3","278","7:48","407","0.0","405","629","--","6,966","--","No","00:04:54.7","6","--","00:43:43","00:43:49","3","22"
Running,2025-03-11 11:29:36,false,"Chicago Running","4.19","520","00:32:52","172","183","3.5","158","167","7:51","5:42","272","269","1.30","7.9","10.3","278","7:43","425","0.0","413","628","--","5,194","--","No","00:01:44.7","5","--","00:32:44","00:32:52","711","783"
Running,2025-03-08 13:02:31,false,"Chicago Running","15.13","1,891","02:01:16","178","191","5.0","158","169","8:01","4:30","243","190","1.28","8.1","10.3","283","7:59","393","0.0","389","676","--","19,106","--","No","00:00:57.2","16","--","02:01:13","02:01:16","577","635"
Running,2025-03-06 07:09:09,false,"Chicago Running","6.01","737","00:47:17","166","187","3.8","158","168","7:52","4:36","190","187","1.30","7.9","10.3","277","7:50","417","0.0","407","631","--","7,470","--","No","00:00:04.8","7","--","00:46:44","00:47:23","570","649"
Running,2025-03-02 11:36:53,false,"Chicago Running","19.01","2,259","02:35:44","169","177","5.0","158","167","8:12","4:36","259","253","1.25","8.2","10.2","285","8:10","381","0.0","378","813","--","24,580","--","No","00:00:09.5","20","--","02:35:27","02:35:44","589","657"
Running,2025-02-26 09:22:00,false,"Chicago Running","4.39","546","00:35:29","166","183","3.4","162","172","8:04","4:47","108","102","1.23","8.0","9.8","274","8:02","405","0.0","392","749","--","5,734","--","No","00:02:59.4","5","--","00:35:17","00:35:29","696","750"
Running,2025-02-24 10:37:25,false,"Chicago Running","6.00","746","00:47:02","172","183","3.9","159","169","7:50","5:04","141","125","1.30","8.0","10.4","279","7:46","400","0.0","396","635","--","7,442","--","No","00:07:44.9","6","--","00:46:53","00:47:02","576","634"
Running,2025-02-22 12:40:17,false,"Chicago Running","15.04","1,817","02:02:23","171","180","4.7","157","165","8:08","5:48","315","308","1.26","8.1","10.2","284","8:06","392","0.0","388","608","--","19,244","--","No","00:00:19.5","16","--","02:02:12","02:02:23","581","648"
Running,2025-02-20 07:17:28,false,"Chicago Running","3.56","415","00:26:52","162","176","3.1","156","167","7:33","3:44","144","131","1.34","7.8","10.5","278","7:31","424","0.0","410","807","--","4,212","--","No","00:04:12.6","4","--","00:26:45","00:26:52","581","636"
Running,2025-02-17 08:52:41,false,"Chicago Running","3.38","419","00:26:38","168","181","3.3","159","169","7:53","6:05","157","128","1.29","8.0","10.3","278","7:41","403","0.0","396","562","--","4,234","--","No","00:02:49.2","4","--","00:26:32","00:26:38","573","644"
Running,2025-02-15 12:08:26,false,"Chicago Running","15.04","1,853","02:03:12","174","182","4.9","158","171","8:11","3:41","269","269","1.25","8.2","10.2","285","8:12","384","0.0","379","838","--","19,412","--","No","00:00:21.0","16","--","02:03:00","02:03:12","579","643"
Running,2025-02-10 10:27:01,false,"Chicago Running","6.01","727","00:46:06","169","182","3.8","160","169","7:40","3:04","141","112","1.30","7.9","10.2","276","7:45","416","0.0","402","976","--","7,340","--","No","00:00:07.4","7","--","00:45:43","00:46:06","569","638"
Running,2025-02-08 11:40:33,false,"Chicago Running","14.42","1,725","02:22:04","148","178","4.4","139","169","9:51","3:23","240","210","1.14","8.0","9.1","285","9:49","362","0.0","305","1,095","--","20,094","--","No","00:03:46.8","15","--","02:16:41","02:22:04","578","643"
Running,2025-02-05 11:12:30,false,"Chicago Running","6.56","816","00:53:18","166","176","3.7","161","167","8:07","5:12","138","105","1.23","8.0","9.9","277","8:07","395","0.0","386","624","--","8,546","--","No","00:04:47.6","7","--","00:53:01","00:53:18","576","640"
Running,2025-02-03 10:13:02,false,"Chicago Running","4.33","534","00:34:07","167","177","3.4","160","169","7:53","5:38","102","95","1.28","8.0","10.2","278","7:52","399","0.0","394","577","--","5,444","--","No","00:02:33.1","5","--","00:34:06","00:34:07","581","637"
Running,2025-02-01 11:09:28,false,"Chicago Running","18.67","2,205","02:32:18","168","178","5.0","159","169","8:09","4:23","246","246","1.24","8.1","10.1","282","8:09","387","0.0","383","770","--","24,230","--","No","00:05:45.7","19","--","02:32:12","02:32:18","583","644"
Running,2025-01-29 11:01:47,false,"Chicago Running","6.57","822","00:51:47","170","181","3.9","159","170","7:53","4:41","184","177","1.28","7.9","10.1","276","7:52","412","0.0","404","668","--","8,226","--","No","00:04:30.6","7","--","00:51:32","00:51:47","516","575"
Running,2025-01-27 09:48:12,false,"Chicago Running","5.92","729","00:46:37","169","180","3.7","160","169","7:53","4:42","151","105","1.27","8.0","10.1","278","7:54","410","0.0","403","627","--","7,460","--","No","00:07:07.0","6","--","00:46:26","00:46:37","568","646"
Running,2025-01-25 11:19:45,false,"Chicago Running","14.69","1,782","02:01:06","170","181","4.7","162","171","8:15","2:51","305","272","1.20","8.1","9.7","278","8:16","386","0.0","380","1,067","--","19,530","--","No","00:05:47.3","15","--","02:01:03","02:01:06","580","640"
Running,2025-01-24 07:28:08,false,"Chicago Running","3.32","354","00:25:41","143","165","2.5","161","169","7:43","3:16","115","82","1.29","7.8","10.0","273","7:39","432","0.0","409","895","--","4,144","--","No","00:02:25.7","4","--","00:25:31","00:25:41","573","648"
Running,2025-01-18 08:47:11,false,"Chicago Running","14.63","1,781","02:00:39","158","172","4.5","161","170","8:15","2:32","387","374","1.22","8.2","9.9","281","8:14","393","0.0","386","1,114","--","19,308","--","No","00:05:05.5","15","--","02:00:35","02:00:39","574","647"
Running,2025-01-15 10:51:23,false,"Chicago Running","4.29","534","00:34:36","166","190","3.4","160","170","8:04","5:39","112","92","1.25","7.9","9.9","274","7:59","403","0.0","395","613","--","5,544","--","No","00:02:33.1","5","--","00:34:15","00:34:36","577","633"
Running,2025-01-13 08:41:52,false,"Chicago Running","5.82","710","00:46:22","165","182","3.6","159","167","7:58","3:56","167","157","1.28","8.0","10.2","281","7:56","406","0.0","400","634","--","7,356","--","No","00:06:27.2","6","--","00:46:19","00:46:22","583","644"
Running,2025-01-11 10:25:26,false,"Chicago Running","14.55","1,759","02:00:43","165","179","4.5","160","167","8:18","5:54","226","210","1.22","8.1","9.9","281","8:17","380","0.0","376","640","--","19,246","--","No","00:04:33.5","15","--","02:00:12","02:00:43","579","635"
Running,2025-01-10 07:24:40,false,"Chicago Running","4.06","492","00:33:18","159","177","3.2","157","167","8:12","3:54","79","75","1.27","8.0","10.0","278","7:59","404","0.0","384","792","--","5,254","--","No","00:00:25.2","5","--","00:33:10","00:33:18","579","621"
Running,2025-01-08 08:41:03,false,"Chicago Running","5.55","672","00:44:49","164","177","3.4","161","177","8:05","2:56","174","157","1.23","8.1","9.9","277","8:05","402","0.0","394","621","--","7,220","--","No","00:04:06.2","6","--","00:44:47","00:44:49","580","646"
Running,2025-01-05 10:31:12,false,"Naples Running","8.11","1,007","01:04:34","172","183","4.3","160","167","7:58","6:38","66","62","1.26","8.0","10.1","278","7:59","398","0.0","394","561","--","10,334","--","No","00:00:53.4","9","--","01:04:18","01:04:34","3","24"
Running,2025-01-04 10:23:13,false,"Naples Running","6.07","728","00:48:33","163","172","3.6","159","163","8:00","6:55","39","39","1.27","8.1","10.2","281","8:00","399","0.0","395","533","--","7,712","--","No","00:00:32.6","7","--","00:48:30","00:48:33","3","26"
Running,2025-01-02 10:17:56,false,"Naples Running","7.32","894","00:59:03","167","176","3.9","159","163","8:04","7:13","49","46","1.26","8.1","10.2","282","8:05","393","0.0","390","523","--","9,392","--","No","00:02:30.8","8","--","00:59:00","00:59:03","1","27"
Running,2024-12-31 10:13:20,false,"Naples Running","5.69","707","00:45:59","173","188","3.8","158","163","8:05","7:09","39","39","1.26","8.1","10.2","283","8:05","385","0.0","384","485","--","7,260","--","No","00:05:36.4","6","--","00:45:56","00:45:59","3","22"
Running,2024-12-30 10:01:49,false,"Naples Running","6.66","841","00:53:26","176","189","4.3","157","163","8:01","7:03","43","46","1.28","8.1","10.3","284","8:02","390","0.0","388","538","--","8,348","--","No","00:05:24.0","7","--","00:53:22","00:53:26","1","21"
Running,2024-12-28 15:13:28,false,"New York Running","6.15","748","00:47:43","171","182","4.0","157","163","7:46","6:53","292","276","1.32","8.0","10.5","282","7:43","414","0.0","407","506","--","7,484","--","No","00:01:08.8","7","--","00:47:41","00:47:43","33","136"
Running,2024-12-26 16:33:57,false,"Stratton Running","4.05","488","00:33:49","157","175","3.2","156","163","8:21","7:18","486","476","1.23","8.3","10.2","289","8:06","411","0.0","393","569","--","5,246","--","No","00:00:26.1","5","--","00:33:47","00:33:49","2,038","2,148"
Resort Skiing,2024-12-26 12:09:05,false,"Stratton Resort Skiing","15.36","641","02:37:50","93","164","0.3","--","--","10.6","36.5","14,245","14,216","--","--","--","--","--","--","0.0","--","--","--","--","--","No","00:05:34.2","11","--","02:24:23","03:19:13","1,977","3,867"
Running,2024-12-25 16:07:20,false,"Stratton Running","4.05","496","00:34:28","157","172","3.2","155","165","8:30","7:28","499","492","1.22","8.3","10.1","291","8:14","406","0.0","387","587","--","5,340","--","No","00:00:28.1","5","--","00:34:25","00:34:42","2,045","2,152"
Resort Skiing,2024-12-25 12:11:11,false,"Stratton Resort Skiing","12.27","604","03:01:07","86","135","0.3","--","--","6.0","34.4","10,466","10,925","--","--","--","--","--","--","0.0","--","--","--","--","--","No","00:09:07.0","11","--","02:22:38","03:28:50","1,999","3,886"
Resort Skiing,2024-12-24 14:21:14,false,"Stratton Resort Skiing","9.74","569","01:42:04","108","143","0.6","--","--","9.9","31.3","8,609","8,619","--","--","--","--","--","--","0.0","--","--","--","--","--","No","00:05:33.8","9","--","01:37:12","01:42:04","2,008","3,890"
Running,2024-12-24 09:31:59,false,"Stratton Running","4.07","548","00:36:57","165","178","3.3","155","163","9:05","7:28","505","495","1.15","8.6","9.8","298","8:46","378","0.0","366","519","--","5,690","--","No","00:00:40.7","5","--","00:36:55","00:36:57","2,045","2,154"
Running,2024-12-21 16:01:22,false,"Wellesley Running","3.77","466","00:31:35","159","171","3.1","155","167","8:23","7:23","115","115","1.23","8.3","10.2","289","8:21","384","0.0","378","517","--","4,912","--","No","00:06:33.3","4","--","00:31:33","00:31:35","118","201"
Running,2024-12-19 16:13:12,false,"Stratton Running","4.06","515","00:34:09","165","183","3.3","154","161","8:25","7:33","505","518","1.23","8.3","10.3","293","8:11","413","0.0","389","587","--","5,244","--","No","00:00:28.2","5","--","00:34:07","00:34:09","2,035","2,145"
Resort Skiing,2024-12-19 13:00:04,false,"Stratton Resort Skiing","10.55","406","01:34:06","95","146","0.4","--","--","12.8","35.8","9,744","9,767","--","--","--","--","--","--","0.0","--","--","--","--","--","No","00:05:00.3","9","--","01:29:03","01:34:06","1,995","3,898"
Resort Skiing,2024-12-18 12:40:24,false,"Stratton Resort Skiing","9.03","422","01:29:39","99","145","0.5","--","--","13.0","35.2","9,281","9,278","--","--","--","--","--","--","0.0","--","--","--","--","--","No","00:05:25.1","8","--","01:27:13","01:29:39","2,009","3,904"
Running,2024-12-17 11:54:10,false,"Stratton Running","4.07","522","00:34:47","166","183","3.3","156","165","8:33","7:03","469","463","1.20","8.4","10.0","290","8:18","403","0.0","385","588","--","5,416","--","No","00:00:40.2","5","--","00:34:46","00:34:47","2,043","2,158"
Running,2024-12-16 08:49:08,false,"Stratton Running","4.05","510","00:33:29","167","183","3.4","158","165","8:16","7:11","492","486","1.23","8.2","10.1","286","8:02","412","0.0","395","569","--","5,254","--","No","00:00:26.7","5","--","00:33:28","00:33:29","2,047","2,152"
Running,2024-12-14 11:44:00,false,"Chicago Running","6.18","769","00:49:41","166","183","4.1","155","170","8:02","5:04","144","115","1.28","8.1","10.3","284","8:01","394","0.0","388","633","--","7,750","--","No","00:01:24.0","7","--","00:49:21","00:49:41","575","639"
Running,2024-12-08 10:02:42,false,"Chicago Running","13.47","1,627","01:50:46","170","181","4.8","158","167","8:14","4:21","171","184","1.24","8.2","10.2","286","8:14","381","0.0","378","672","--","17,416","--","No","00:03:35.3","14","--","01:50:44","01:50:46","583","658"
Running,2024-12-04 07:19:32,false,"Chicago Running","4.41","521","00:34:54","163","178","3.4","160","165","7:54","1:59","187","167","1.23","8.1","10.0","282","8:04","402","0.0","388","1,927","--","5,562","--","No","00:03:14.1","5","--","00:34:53","00:34:54","593","652"
Running,2024-12-02 07:19:24,false,"Chicago Running","4.25","528","00:34:13","169","179","3.6","158","171","8:03","3:12","154","144","1.26","8.1","10.2","284","8:01","394","0.0","387","867","--","5,390","--","No","00:01:55.3","5","--","00:34:11","00:34:13","589","640"
Running,2024-11-29 09:53:59,false,"New York Running","6.18","754","00:49:18","167","178","3.8","160","165","7:58","6:42","289","279","1.26","8.0","10.1","279","7:56","408","0.0","400","539","--","7,882","--","No","00:01:26.4","7","--","00:49:16","00:49:18","41","142"
Running,2024-11-27 09:45:34,false,"New York Running","6.19","770","00:51:35","167","177","3.7","160","165","8:20","7:04","308","299","1.21","8.2","9.9","283","8:17","385","0.0","378","480","--","8,228","--","No","00:01:35.2","7","--","00:51:33","00:51:35","35","140"
Running,2024-11-25 09:50:57,false,"Naples Running","4.22","526","00:33:19","176","190","3.7","159","164","7:54","6:49","23","33","1.29","8.0","10.3","280","7:54","393","0.0","391","501","--","5,278","--","No","00:01:41.5","5","--","00:33:14","00:33:23","1","20"
Running,2024-11-24 10:50:26,false,"Naples Running","6.56","833","00:53:42","175","187","4.3","158","163","8:11","7:06","59","52","1.24","8.2","10.2","285","8:12","383","0.0","381","483","--","8,494","--","No","00:04:41.6","7","--","00:53:40","00:53:42","1","24"
Running,2024-11-22 07:14:47,false,"Chicago Running","4.51","560","00:36:06","169","183","3.7","159","167","8:01","5:15","167","161","1.27","8.1","10.2","280","7:59","399","0.0","390","626","--","5,732","--","No","00:03:45.4","5","--","00:36:00","00:36:06","582","648"
Running,2024-11-20 07:16:31,false,"Chicago Running","4.43","555","00:37:06","163","184","3.4","156","169","8:23","5:34","138","131","1.23","8.2","10.1","285","8:21","389","0.0","379","573","--","5,790","--","No","00:03:42.5","5","--","00:36:48","00:37:06","586","644"
Running,2024-11-17 10:01:44,false,"Chicago Running","10.20","1,314","01:24:58","172","184","4.8","157","167","8:20","6:58","187","164","1.26","8.1","10.2","285","8:16","378","0.0","370","479","--","13,338","--","No","00:01:42.2","11","--","01:23:11","01:24:58","581","648"
Running,2024-11-13 07:09:33,false,"Chicago Running","4.24","535","00:35:44","162","179","3.4","158","171","8:26","6:24","138","112","1.23","8.2","10.0","283","8:04","374","0.0","365","599","--","5,664","--","No","00:01:45.3","5","--","00:34:56","00:35:44","573","643"
Running,2024-11-05 08:34:02,false,"Chicago Running","4.91","618","00:40:29","166","180","3.5","159","167","8:14","5:31","128","121","1.23","8.1","10.0","282","8:15","380","0.0","374","592","--","6,420","--","No","00:07:20.1","5","--","00:40:27","00:40:29","575","644"
Running,2024-11-02 09:58:26,false,"Chicago Running","26.46","3,149","04:22:20","158","169","5.0","145","167","9:55","3:18","400","338","1.09","8.3","9.1","293","9:52","340","0.0","305","1,023","--","38,804","--","No","00:06:39.3","27","--","04:20:55","04:22:20","574","648"
Running,2024-10-29 08:20:19,false,"Chicago Running","5.36","673","00:44:40","164","178","3.5","158","165","8:20","5:51","256","135","1.23","8.2","10.1","285","8:18","391","0.0","385","575","--","7,058","--","No","00:02:48.5","6","--","00:44:37","00:44:40","586","657"
Running,2024-10-26 11:11:14,false,"Chicago Running","13.31","1,599","01:50:40","164","174","4.3","158","165","8:19","5:27","269","253","1.22","8.3","10.0","286","8:21","387","0.0","383","593","--","17,488","--","No","00:02:28.8","14","--","01:50:38","01:50:40","576","648"
Running,2024-10-24 08:32:12,false,"Chicago Running","6.15","753","00:49:50","163","176","3.6","159","167","8:07","5:43","164","157","1.24","8.1","10.1","283","8:10","385","0.0","380","588","--","7,884","--","No","00:01:04.7","7","--","00:49:48","00:49:50","582","648"
Running,2024-10-22 08:02:27,false,"Chicago Running","6.07","718","00:48:13","160","176","3.5","159","167","7:57","3:44","151","121","1.24","8.1","10.1","283","8:08","397","0.0","389","868","--","7,648","--","No","00:00:25.9","7","--","00:48:11","00:48:13","579","638"
